id,country,state,city,zip,latitude,longitude
308,US,PR,Repto San Juan,00612,18.45,-66.73
309,US,PR,Sect Abra,00612,18.45,-66.73
310,US,PR,Sect El Cano,00612,18.45,-66.73
311,US,PR,Sect Las Animas,00612,18.45,-66.73
312,US,PR,Sect Muelle,00612,18.45,-66.73
313,US,PR,Urb Arecibo Gdns,00612,18.45,-66.73
314,US,PR,Urb College Park Iv,00612,18.45,-66.73
315,US,PR,Urb Costas Del Atlantico,00612,18.45,-66.73
316,US,PR,Urb El Paraiso,00612,18.45,-66.73
317,US,PR,Urb Factor,00612,18.45,-66.73
318,US,PR,Urb Garcia,00612,18.45,-66.73
319,US,PR,Urb Garden View,00612,18.45,-66.73
320,US,PR,Urb La Mucura,00612,18.45,-66.73
321,US,PR,Urb Las Brisas,00612,18.45,-66.73
322,US,PR,Urb Los Llanos,00612,18.45,-66.73
323,US,PR,Urb Los Pinos,00612,18.45,-66.73
324,US,PR,Urb Los Pinos Ii,00612,18.45,-66.73
325,US,PR,Urb Marisol,00612,18.45,-66.73
326,US,PR,Urb Martell,00612,18.45,-66.73
327,US,PR,Urb Ocean Vw,00612,18.45,-66.73
328,US,PR,Urb Radioville,00612,18.45,-66.73
329,US,PR,Urb Regional,00612,18.45,-66.73
330,US,PR,Urb San Daniel,00612,18.45,-66.73
331,US,PR,Urb San Felipe,00612,18.45,-66.73
332,US,PR,Urb San Lorenzo,00612,18.45,-66.73
333,US,PR,Urb Tanama,00612,18.45,-66.73
334,US,PR,Urb University Gdns,00612,18.45,-66.73
335,US,PR,Urb Victor Rojas 1,00612,18.45,-66.73
336,US,PR,Urb Victor Rojas 2,00612,18.45,-66.73
337,US,PR,Urb Villamar,00612,18.45,-66.73
338,US,PR,Urb Zeno Gandia,00612,18.45,-66.73
339,US,PR,Valle Escondido,00612,18.45,-66.73
340,US,PR,Villa Los Santos,00612,18.45,-66.73
341,US,PR,Villa Lucia,00612,18.45,-66.73
342,US,PR,Villa Serena,00612,18.45,-66.73
343,US,PR,Villa Toledo,00612,18.45,-66.73
344,US,PR,Villas Del Capitan,00612,18.45,-66.73
345,US,PR,Villas Del Sol,00612,18.45,-66.73
346,US,PR,Vista Azul,00612,18.45,-66.73
347,US,PR,Vista Del Atlantico,00612,18.45,-66.73
348,US,PR,Arecibo,00613,18.45,-66.73
349,US,PR,Arecibo,00614,18.45,-66.73
350,US,PR,Arroyo,00714,17.97,-66.06
351,US,PR,Ext Jard De Arroyo,00714,17.97,-66.06
352,US,PR,Jard De Arroyo,00714,17.97,-66.06
353,US,PR,Jard De Lafayette,00714,17.97,-66.06
354,US,PR,Parq De Guasimas,00714,17.97,-66.06
355,US,PR,Qtas De Guasima,00714,17.97,-66.06
356,US,PR,Repto Bello Mar,00714,17.97,-66.06
357,US,PR,Urb Arroyo Del Mar,00714,17.97,-66.06
358,US,PR,Urb Belinda,00714,17.97,-66.06
359,US,PR,Urb Las 500,00714,17.97,-66.06
360,US,PR,Urb Miramar 1,00714,17.97,-66.06
361,US,PR,Urb Palmar 2,00714,17.97,-66.06
362,US,PR,Urb San Antonio,00714,17.97,-66.06
363,US,PR,Villas De Lafayette,00714,17.97,-66.06
364,US,PR,Bajadero,00616,18.4,-66.66
365,US,PR,Brisas Del Valle,00616,18.4,-66.66
366,US,PR,Barceloneta,00617,18.45,-66.53
367,US,PR,Bda Catalana,00617,18.45,-66.53
368,US,PR,Brisas De Llanadas,00617,18.45,-66.53
369,US,PR,Brisas Del Monte,00617,18.45,-66.53
370,US,PR,Est De Barceloneta,00617,18.45,-66.53
371,US,PR,Est De Florida,00617,18.45,-66.53
372,US,PR,Ext Est De Imbery,00617,18.45,-66.53
373,US,PR,Ext Parc Punta Palmas,00617,18.45,-66.53
374,US,PR,Parc Garrochales,00617,18.45,-66.53
375,US,PR,Parc Imbery,00617,18.45,-66.53
376,US,PR,Parc Magueyes,00617,18.45,-66.53
377,US,PR,Parc Palenque,00617,18.45,-66.53
378,US,PR,Parc Punta Palmas,00617,18.45,-66.53
379,US,PR,Parc Tiburon,00617,18.45,-66.53
380,US,PR,Repto Las Llanadas,00617,18.45,-66.53
381,US,PR,Urb Cataluna,00617,18.45,-66.53
382,US,PR,Urb Cimarrona Ct,00617,18.45,-66.53
383,US,PR,Urb Las Delicias,00617,18.45,-66.53
384,US,PR,Urb Las Praderas,00617,18.45,-66.53
385,US,PR,Urb Ortega,00617,18.45,-66.53
386,US,PR,Urb Plazuela Estates,00617,18.45,-66.53
387,US,PR,Urb Sol Naciente,00617,18.45,-66.53
388,US,PR,Villa Barcelona,00617,18.45,-66.53
389,US,PR,Villa Central,00617,18.45,-66.53
390,US,PR,Villa Georgetti,00617,18.45,-66.53
391,US,PR,Villas De La Sabana,00617,18.45,-66.53
392,US,PR,Barranquitas,00794,18.18,-66.3
393,US,PR,Bda Alemania,00794,18.18,-66.3
394,US,PR,Urb San Cristobal,00794,18.18,-66.3
395,US,PR,Vistas De Montecielo,00794,18.18,-66.3
396,US,PR,Boqueron,00622,17.99,-67.15
397,US,PR,Villa Taina,00622,17.99,-67.15
398,US,PR,Cabo Rojo,00623,18.08,-67.14
399,US,PR,Alts De Joyuda,00623,18.08,-67.14
400,US,PR,Alts Del Mar,00623,18.08,-67.14
401,US,PR,Bo Ballaja,00623,18.08,-67.14
402,US,PR,Bo Monte Grande,00623,18.08,-67.14
403,US,PR,Est De Miramar,00623,18.08,-67.14
404,US,PR,Est Reales,00623,18.08,-67.14
405,US,PR,Ext Elizabeth,00623,18.08,-67.14
406,US,PR,Ext La Concepcion,00623,18.08,-67.14
407,US,PR,Ext Parc Elizabeth,00623,18.08,-67.14
408,US,PR,Ext Sierra Linda,00623,18.08,-67.14
409,US,PR,Haciendas De Belvedere,00623,18.08,-67.14
410,US,PR,Haciendas De Cabo Rojo,00623,18.08,-67.14
